episode,advantage_mean,baseline_cost_mean,sampled_cost_mean,entropy_mean,tonn_cost_mean,sampled_minus_tonn
1001,-0.12876656651496887,8.854111671447754,8.982877731323242,0.33345428109169006,,
1002,-0.14394217729568481,8.875480651855469,9.01942253112793,0.3381100296974182,,
1003,-0.14487719535827637,8.926643371582031,9.071520805358887,0.3303205966949463,,
1004,-0.16396962106227875,8.915315628051758,9.07928466796875,0.316284716129303,,
1005,-0.12280821800231934,8.89853286743164,9.021341323852539,0.3294237554073334,,
1006,-0.1161523163318634,8.957420349121094,9.073572158813477,0.311127632856369,,
1007,-0.14201423525810242,8.924976348876953,9.066990852355957,0.3190160095691681,,
1008,-0.14409220218658447,8.828381538391113,8.972474098205566,0.32189691066741943,,
1009,-0.0930725634098053,9.01543140411377,9.108503341674805,0.3261301517486572,,
1010,-0.14580821990966797,8.93618392944336,9.081992149353027,0.32339608669281006,,
1011,-0.10869194567203522,8.908560752868652,9.017251968383789,0.32310107350349426,,
1012,-0.14459192752838135,8.841468811035156,8.986059188842773,0.3335588574409485,,
1013,-0.03998011350631714,8.823929786682129,8.863909721374512,0.32700827717781067,,
1014,-0.15024012327194214,8.742841720581055,8.893081665039062,0.3275446891784668,,
1015,-0.12739428877830505,8.979557037353516,9.106951713562012,0.32803598046302795,,
1016,-0.15759842097759247,8.957542419433594,9.115140914916992,0.32547909021377563,,
1017,-0.31641656160354614,8.762548446655273,9.078964233398438,0.3230438232421875,,
1018,-0.2679005265235901,8.867254257202148,9.135154724121094,0.3287412226200104,,
1019,-0.27506688237190247,8.928739547729492,9.203805923461914,0.3264366686344147,,
1020,-0.3181278705596924,8.820432662963867,9.13856029510498,0.31791314482688904,,
1021,-0.3346448540687561,8.87000846862793,9.204652786254883,0.31881511211395264,,
1022,-0.2634090781211853,8.80036449432373,9.063774108886719,0.3072553873062134,,
1023,-0.22105666995048523,8.908319473266602,9.129376411437988,0.3114384412765503,,
1024,-0.14500059187412262,8.803544998168945,8.948545455932617,0.3003005385398865,,
1025,-0.18978522717952728,8.922122955322266,9.111908912658691,0.3051677346229553,10.165848731994629,-1.0539402961730957
1026,-0.1893029361963272,8.90369987487793,9.093002319335938,0.3121398091316223,,
1027,-0.19811004400253296,8.770950317382812,8.969060897827148,0.31779587268829346,,
1028,-0.2074287384748459,8.766425132751465,8.97385311126709,0.3382881283760071,,
1029,-0.2032196968793869,8.922918319702148,9.126136779785156,0.35038381814956665,,
1030,-0.27535971999168396,8.802557945251465,9.077919006347656,0.3747978210449219,,
1031,-0.3254459798336029,8.77554702758789,9.100994110107422,0.39581120014190674,,
1032,-0.30292513966560364,8.927183151245117,9.230108261108398,0.398154079914093,,
1033,-0.29111403226852417,9.010950088500977,9.302064895629883,0.401358425617218,,
1034,-0.20510625839233398,8.900261878967285,9.105368614196777,0.3967196047306061,,
1035,-0.30474036931991577,8.929647445678711,9.234386444091797,0.38250142335891724,,
1036,-0.14518789947032928,8.987007141113281,9.132194519042969,0.37867555022239685,,
1037,-0.20567436516284943,8.869075775146484,9.074750900268555,0.36997413635253906,,
1038,-0.11278961598873138,8.719130516052246,8.83191967010498,0.35370996594429016,,
1039,-0.14980548620224,8.948111534118652,9.097917556762695,0.3521263897418976,,
1040,-0.14568784832954407,8.926424026489258,9.072111129760742,0.3537336587905884,,
1041,-0.14825966954231262,8.875778198242188,9.024038314819336,0.3467288315296173,,
1042,-0.07568179816007614,8.987435340881348,9.063117027282715,0.3418234884738922,,
1043,-0.14509491622447968,8.828778266906738,8.973873138427734,0.3252761960029602,,
1044,-0.09906100481748581,8.878361701965332,8.977422714233398,0.3314243257045746,,
1045,-0.06282360106706619,8.90546989440918,8.968294143676758,0.32220250368118286,,
1046,-0.08551117777824402,8.851982116699219,8.937492370605469,0.3112778961658478,,
1047,-0.07968857884407043,8.883416175842285,8.963104248046875,0.3099925220012665,,
1048,-0.06503723561763763,8.855693817138672,8.920730590820312,0.29865965247154236,,
1049,-0.15021920204162598,8.968469619750977,9.11868953704834,0.2848125994205475,,
1050,-0.13826251029968262,8.834571838378906,8.972833633422852,0.2881157398223877,10.079427719116211,-1.1065938472747803
1051,-0.10142645239830017,8.908382415771484,9.009809494018555,0.27524933218955994,,
1052,-0.11613801121711731,8.759330749511719,8.875467300415039,0.2808939516544342,,
1053,-0.13254277408123016,8.900812149047852,9.033354759216309,0.27979665994644165,,
1054,-0.08894694596529007,8.906839370727539,8.995786666870117,0.27954986691474915,,
1055,-0.15921014547348022,8.948683738708496,9.107892990112305,0.28807318210601807,,
1056,-0.10868881642818451,8.845205307006836,8.953893661499023,0.26997140049934387,,
1057,-0.11018690466880798,8.914206504821777,9.024393081665039,0.28807249665260315,,
1058,-0.21236124634742737,8.98179817199707,9.194160461425781,0.28376513719558716,,
1059,-0.13500849902629852,8.854665756225586,8.989675521850586,0.2748720645904541,,
1060,-0.08500991761684418,8.80921745300293,8.894227981567383,0.2798960208892822,,
1061,-0.08834205567836761,8.895425796508789,8.983766555786133,0.2810508906841278,,
1062,-0.04577862471342087,8.80130672454834,8.847085952758789,0.2895200848579407,,
1063,-0.062108516693115234,8.982535362243652,9.044644355773926,0.2901524305343628,,
1064,-0.0565180778503418,8.931961059570312,8.988478660583496,0.2862362563610077,,
1065,-0.03922653943300247,8.95985221862793,8.999078750610352,0.2965296506881714,,
1066,-0.015027742832899094,8.865432739257812,8.880460739135742,0.30571603775024414,,
1067,-0.053493350744247437,8.753779411315918,8.807272911071777,0.30800947546958923,,
1068,-0.04728741943836212,8.8671236038208,8.914410591125488,0.30396804213523865,,
1069,-0.07603789865970612,8.863302230834961,8.939340591430664,0.3138794004917145,,
1070,-0.06390155851840973,8.824798583984375,8.888700485229492,0.3185792565345764,,
1071,-0.11561985313892365,8.877498626708984,8.993119239807129,0.3209713101387024,,
1072,-0.06549529731273651,8.944486618041992,9.00998306274414,0.3222990036010742,,
1073,-0.12434610724449158,8.916252136230469,9.040597915649414,0.30386048555374146,,
1074,-0.08876074105501175,8.84253978729248,8.93130111694336,0.3090522885322571,,
1075,-0.141637921333313,8.778905868530273,8.920543670654297,0.3268255591392517,10.01906967163086,-1.0985268354415894
1076,-0.07663863897323608,8.811532974243164,8.888172149658203,0.3390619456768036,,
1077,-0.061350803822278976,9.084418296813965,9.145769119262695,0.3237287998199463,,
