episode,advantage_mean,baseline_cost_mean,sampled_cost_mean,entropy_mean,tonn_cost_mean,sampled_minus_tonn
1,-5.009563446044922,13.496881484985352,18.506446838378906,1.8387356996536255,,
2,-5.1777143478393555,13.400738716125488,18.578453063964844,1.8267502784729004,,
3,-5.095743179321289,13.532360076904297,18.628101348876953,1.831457257270813,,
4,-5.133842468261719,13.317344665527344,18.45118522644043,1.798827886581421,,
5,-5.066606521606445,13.411136627197266,18.47774314880371,1.8231736421585083,,
6,-4.967863082885742,13.428291320800781,18.396156311035156,1.7820348739624023,,
7,-5.121682167053223,13.504711151123047,18.626392364501953,1.830080270767212,,
8,-5.0149946212768555,13.496578216552734,18.511573791503906,1.8700647354125977,,
9,-4.900298595428467,13.459369659423828,18.359668731689453,1.8256937265396118,,
10,-4.721571922302246,13.32496452331543,18.04653549194336,1.8196436166763306,,
11,-5.260738849639893,13.403507232666016,18.66424560546875,1.7556122541427612,,
12,-4.663089752197266,13.47747802734375,18.140567779541016,1.8698036670684814,,
13,-4.944884300231934,13.324127197265625,18.269010543823242,1.7905100584030151,,
14,-5.099600791931152,13.378872871398926,18.478473663330078,1.8325577974319458,,
15,-4.821660995483398,13.461286544799805,18.282947540283203,1.856755256652832,,
16,-4.909679889678955,13.391249656677246,18.300928115844727,1.8631043434143066,,
17,-5.006534576416016,13.384729385375977,18.391265869140625,1.861521601676941,,
18,-4.613888740539551,13.643726348876953,18.257614135742188,1.8606067895889282,,
19,-4.775365829467773,13.358642578125,18.134008407592773,1.8565486669540405,,
20,-5.032042503356934,13.538756370544434,18.570798873901367,1.813093662261963,,
21,-4.678901672363281,13.604410171508789,18.283313751220703,1.8116008043289185,,
22,-4.730042457580566,13.480546951293945,18.210588455200195,1.8128633499145508,,
23,-4.8932881355285645,13.40710163116455,18.30038833618164,1.8108433485031128,,
24,-4.8701982498168945,13.417301177978516,18.287498474121094,1.8510196208953857,,
25,-4.815756797790527,13.49845027923584,18.314208984375,1.807568907737732,10.10969352722168,8.204513549804688
26,-4.639887809753418,13.594528198242188,18.234416961669922,1.8559802770614624,,
27,-4.871889114379883,13.41256332397461,18.284452438354492,1.7725427150726318,,
28,-4.598982810974121,13.594717025756836,18.19369888305664,1.8142082691192627,,
29,-4.920201301574707,13.366716384887695,18.286916732788086,1.848412275314331,,
30,-4.5907182693481445,13.576908111572266,18.167625427246094,1.8056104183197021,,
31,-4.699783802032471,13.49205207824707,18.191835403442383,1.8385562896728516,,
32,-4.896531105041504,13.353328704833984,18.249860763549805,1.841063380241394,,
33,-4.663223743438721,13.363420486450195,18.026641845703125,1.806602120399475,,
34,-4.455113410949707,13.444863319396973,17.89997673034668,1.8048748970031738,,
35,-4.575340270996094,13.65573501586914,18.231075286865234,1.8454848527908325,,
36,-4.70375919342041,13.73328971862793,18.437049865722656,1.841065764427185,,
37,-4.541259765625,13.585494995117188,18.126754760742188,1.8352930545806885,,
38,-4.500118255615234,13.6760835647583,18.17620086669922,1.7990108728408813,,
39,-4.5506272315979,13.238812446594238,17.78944206237793,1.849805235862732,,
40,-4.601406097412109,13.468269348144531,18.06967544555664,1.8358794450759888,,
41,-4.500731468200684,13.348184585571289,17.84891700744629,1.8060630559921265,,
42,-4.4489617347717285,13.472146987915039,17.92110824584961,1.8811142444610596,,
43,-4.357585430145264,13.447441101074219,17.80502700805664,1.8360309600830078,,
44,-4.578147888183594,13.370989799499512,17.949138641357422,1.8385071754455566,,
45,-4.592012405395508,13.42363166809082,18.015644073486328,1.7948874235153198,,
46,-4.5216474533081055,13.519784927368164,18.041431427001953,1.794465184211731,,
47,-4.686247825622559,13.582740783691406,18.26898765563965,1.7957109212875366,,
48,-4.451796531677246,13.383216857910156,17.835012435913086,1.7827646732330322,,
49,-4.413402080535889,13.504156112670898,17.917558670043945,1.8191856145858765,,
50,-4.290306568145752,13.531709671020508,17.8220157623291,1.8270678520202637,10.086196899414062,7.7358174324035645
51,-6.065674781799316,11.683774948120117,17.74945068359375,1.8351484537124634,,
52,-5.941080093383789,11.871858596801758,17.812938690185547,1.793184518814087,,
53,-6.0211405754089355,11.713510513305664,17.734649658203125,1.8405390977859497,,
54,-6.252872943878174,11.672895431518555,17.92576789855957,1.7462724447250366,,
55,-6.186430931091309,11.754327774047852,17.940757751464844,1.7943092584609985,,
56,-6.091113090515137,11.888059616088867,17.979171752929688,1.8142168521881104,,
57,-6.132619857788086,11.688572883605957,17.821191787719727,1.7449607849121094,,
58,-6.167176246643066,11.738965034484863,17.906143188476562,1.7868013381958008,,
59,-6.105932712554932,11.791492462158203,17.897422790527344,1.7826952934265137,,
60,-5.996773719787598,11.716703414916992,17.713478088378906,1.8235206604003906,,
61,-5.831279277801514,11.72039794921875,17.551677703857422,1.7778280973434448,,
62,-6.031524658203125,11.77714729309082,17.808671951293945,1.8160215616226196,,
63,-5.723800182342529,11.793144226074219,17.516944885253906,1.7798657417297363,,
64,-6.2036638259887695,11.726755142211914,17.930418014526367,1.7718466520309448,,
65,-5.832803726196289,11.807382583618164,17.640186309814453,1.8128429651260376,,
66,-5.694876670837402,11.748493194580078,17.443368911743164,1.7726802825927734,,
67,-5.97669792175293,11.670940399169922,17.64763832092285,1.8179060220718384,,
68,-5.870856285095215,11.744972229003906,17.615829467773438,1.8106021881103516,,
69,-5.846070766448975,11.801012992858887,17.647083282470703,1.8052756786346436,,
70,-5.882368564605713,11.631551742553711,17.513919830322266,1.8083055019378662,,
71,-6.065649032592773,11.70128345489502,17.766931533813477,1.8568999767303467,,
72,-5.692024230957031,11.764415740966797,17.456438064575195,1.8102668523788452,,
73,-5.991665840148926,11.79057502746582,17.782241821289062,1.808990716934204,,
74,-5.600040435791016,11.747711181640625,17.34775161743164,1.7696056365966797,,
75,-5.743982315063477,11.596786499023438,17.340768814086914,1.777319073677063,10.064168930053711,7.276599884033203
76,-5.876945495605469,11.76632308959961,17.643268585205078,1.844425082206726,,
77,-5.861353397369385,11.977579116821289,17.838932037353516,1.7718381881713867,,
78,-5.853270530700684,11.849849700927734,17.703121185302734,1.8471928834915161,,
79,-5.762201309204102,11.740180969238281,17.50238037109375,1.8006954193115234,,
80,-5.45373010635376,11.640226364135742,17.093957901000977,1.8018919229507446,,
81,-5.869058609008789,11.917022705078125,17.78607940673828,1.803167462348938,,
82,-5.924370765686035,11.734163284301758,17.65853500366211,1.7957544326782227,,
83,-5.692744255065918,11.63674545288086,17.329490661621094,1.7955758571624756,,
84,-5.817487716674805,11.799301147460938,17.616788864135742,1.8406622409820557,,
85,-5.73708438873291,11.829275131225586,17.56635856628418,1.8026450872421265,,
86,-5.671804904937744,11.79258918762207,17.46439552307129,1.7940590381622314,,
87,-5.7948713302612305,11.763371467590332,17.558242797851562,1.8013814687728882,,
88,-6.048003196716309,11.681732177734375,17.729736328125,1.7935256958007812,,
89,-5.632807731628418,11.77265739440918,17.40546417236328,1.7915486097335815,,
90,-5.5686259269714355,11.83133316040039,17.399959564208984,1.788853645324707,,
91,-5.634746551513672,11.553096771240234,17.187843322753906,1.7565100193023682,,
92,-5.485784530639648,11.796073913574219,17.281856536865234,1.7933017015457153,,
93,-5.54408073425293,11.814817428588867,17.358898162841797,1.7936848402023315,,
94,-5.770557403564453,11.751813888549805,17.52237319946289,1.7485435009002686,,
95,-5.664709091186523,11.79774284362793,17.462451934814453,1.7909187078475952,,
96,-5.81982421875,11.604185104370117,17.424009323120117,1.7877578735351562,,
